Observation,Q_Values
"[-0.006, 0.175, 0.098, 0.292]","[10.640011155584968, 18.452053142839773]"
"[-0.002, -0.021, 0.104, 0.614]","[10.906737816432518, 7.94324498264843]"
"[-0.002, 0.173, 0.116, 0.356]","[15.964390931947143, 11.99580640266252]"
"[0.001, -0.024, 0.123, 0.683]","[9.299878782992083, 20.187761881229214]"
"[0.001, -0.221, 0.137, 1.011]","[20.6973967194337, 5.553887207805202]"
"[-0.004, -0.417, 0.157, 1.344]","[22.42403259576715, 8.45276594819408]"
"[-0.012, -0.224, 0.184, 1.104]","[17.965419579417194, 20.204425734598964]"
"[-0.017, -0.421, 0.206, 1.449]","[16.279982210297575, 23.916589649750247]"
"[-0.029, 0.038, -0.047, -0.032]","[14.59120437568979, 21.47809511962958]"
"[-0.029, -0.156, -0.048, 0.245]","[17.829791802489975, 12.98162700194389]"
"[-0.032, -0.351, -0.043, 0.522]","[23.153252840641812, 7.822699671985367]"
"[-0.039, -0.155, -0.033, 0.216]","[13.749674843525598, 17.833496487081433]"
"[-0.042, 0.041, -0.028, -0.087]","[10.585501013835524, 20.35492024121787]"
"[-0.041, -0.154, -0.03, 0.197]","[8.230991751307632, 24.334710421993066]"
"[-0.044, 0.041, -0.026, -0.105]","[8.896762028467082, 24.347485955280934]"
"[-0.043, -0.153, -0.028, 0.179]","[19.979619602491134, 13.616952373866837]"
"[-0.046, -0.348, -0.025, 0.463]","[22.69296276572424, 20.710111507295956]"
"[-0.053, -0.153, -0.015, 0.162]","[19.932351987874036, 16.684876109417793]"
"[-0.056, 0.043, -0.012, -0.135]","[9.605325706209605, 23.900314949525303]"
"[-0.056, -0.152, -0.015, 0.154]","[11.179725822474797, 14.65085352938026]"
"[-0.059, 0.043, -0.012, -0.144]","[22.269056795125493, 15.376850843674566]"
"[-0.058, 0.238, -0.015, -0.44]","[5.077580194009245, 20.55160883881241]"
"[-0.053, 0.043, -0.024, -0.152]","[15.89209046729929, 22.286441895753658]"
"[-0.052, -0.151, -0.027, 0.133]","[21.607784813633362, 14.69383046783069]"
"[-0.055, 0.044, -0.024, -0.168]","[12.395443488469876, 20.649461577020595]"
"[-0.054, -0.151, -0.027, 0.117]","[10.497991675280753, 7.8511503470581]"
"[-0.057, -0.345, -0.025, 0.401]","[17.612363795340638, 17.441627325575098]"
"[-0.064, -0.54, -0.017, 0.686]","[20.123291750242473, 23.493563619185828]"
"[-0.075, -0.345, -0.003, 0.388]","[14.503760447195717, 6.9269168654288364]"
"[-0.082, -0.15, 0.005, 0.094]","[8.391463277459092, 15.911020137959387]"
"[-0.085, 0.046, 0.006, -0.197]","[16.585300663560258, 11.78074484083256]"
"[-0.084, 0.241, 0.003, -0.487]","[15.5502964574588, 20.690352623756205]"
"[-0.079, 0.436, -0.007, -0.779]","[6.873322192755161, 13.71319127118823]"
"[-0.07, 0.631, -0.023, -1.074]","[18.78732860965598, 21.14550760828734]"
"[-0.058, 0.826, -0.044, -1.374]","[23.005782544942804, 11.63471776690806]"
"[-0.041, 0.632, -0.072, -1.096]","[12.581181579177226, 16.356036203676833]"
"[-0.029, 0.438, -0.094, -0.826]","[13.308741728330764, 18.34217629508362]"
"[-0.02, 0.634, -0.11, -1.147]","[21.777255041070724, 13.000839216558822]"
"[-0.007, 0.44, -0.133, -0.891]","[9.967820942502787, 13.612795956641932]"
"[0.002, 0.637, -0.151, -1.222]","[18.549105834050028, 18.08674676239901]"
"[0.014, 0.834, -0.175, -1.558]","[24.256082686548105, 17.369083459779976]"
"[0.031, 0.641, -0.207, -1.325]","[12.892649649809645, 13.797546641828802]"
"[0.048, 0.046, 0.05, 0.009]","[5.3614934814710065, 24.195512426678835]"
"[0.048, 0.241, 0.05, -0.267]","[10.910549620192398, 14.407225870164659]"
"[0.053, 0.435, 0.045, -0.544]","[10.967552433053687, 17.20070394306933]"
"[0.062, 0.63, 0.034, -0.822]","[19.881054431099017, 14.52736029895365]"
"[0.075, 0.824, 0.017, -1.104]","[13.767129654419186, 21.560229272675357]"
"[0.091, 0.629, -0.005, -0.806]","[7.572621476435213, 16.077511472150054]"
"[0.104, 0.824, -0.021, -1.1]","[15.758180948991914, 14.095303549503381]"
"[0.12, 1.02, -0.043, -1.399]","[9.16031515058573, 20.95064122871381]"
"[0.141, 1.215, -0.071, -1.705]","[18.410855425030427, 10.658786941355622]"
"[0.165, 1.411, -0.105, -2.018]","[9.326785579676438, 24.316535867086287]"
"[0.193, 1.607, -0.145, -2.342]","[18.871258350667784, 18.488751113758582]"
"[0.225, 1.803, -0.192, -2.675]","[23.103720703193865, 24.995005315355886]"
"[0.018, -0.043, -0.042, 0.04]","[22.708935895396294, 16.829284594711524]"
"[0.017, 0.153, -0.041, -0.265]","[15.16929192637468, 7.346789517935117]"
"[0.02, 0.349, -0.047, -0.571]","[20.897225348872368, 7.624780297674095]"
"[0.027, 0.545, -0.058, -0.878]","[7.250773574622043, 24.26676529673019]"
"[0.038, 0.35, -0.076, -0.604]","[12.868969268318335, 6.579987869309388]"
"[0.045, 0.156, -0.088, -0.336]","[6.712707132127271, 9.591102684458912]"
"[0.048, 0.353, -0.095, -0.655]","[13.113666447926594, 5.271428839128458]"
"[0.055, 0.159, -0.108, -0.393]","[20.216664129140135, 23.843258127590254]"
"[0.058, -0.035, -0.115, -0.137]","[21.411454134739333, 20.536631425257738]"
"[0.058, 0.162, -0.118, -0.463]","[10.287620975204266, 5.615723080050483]"
"[0.061, -0.031, -0.127, -0.21]","[20.381089241130795, 12.278342010241909]"
"[0.06, 0.165, -0.132, -0.54]","[18.798022572515386, 23.038217856431515]"
"[0.063, 0.362, -0.142, -0.871]","[10.978350934820583, 8.411140434370052]"
"[0.071, 0.169, -0.16, -0.627]","[8.822615792122777, 15.816327478501453]"
"[0.074, 0.366, -0.172, -0.965]","[19.10536753436765, 5.806316579313549]"
"[0.081, 0.174, -0.192, -0.731]","[14.768672025767948, 16.637463612575477]"
"[0.085, -0.018, -0.206, -0.504]","[23.340984391193203, 16.471595433630352]"
"[0.043, 0.048, -0.024, 0.003]","[17.517879140092937, 5.8776732420921185]"
"[0.044, -0.147, -0.024, 0.288]","[9.657419716101469, 24.656487602670662]"
"[0.041, 0.048, -0.018, -0.012]","[13.775485183805207, 24.390744048143844]"
"[0.042, -0.147, -0.018, 0.275]","[16.014975058786366, 11.630294679966935]"
"[0.039, 0.049, -0.013, -0.024]","[20.704315967266027, 9.3793195665711]"
"[0.04, -0.146, -0.013, 0.265]","[7.596502272226957, 5.27332971797113]"
"[0.037, 0.049, -0.008, -0.032]","[19.685631262930485, 16.32557376339605]"
"[0.038, 0.244, -0.009, -0.327]","[17.076444715171515, 21.51177509627054]"
"[0.043, 0.049, -0.015, -0.037]","[9.4828463375657, 6.707098819895531]"
"[0.044, -0.146, -0.016, 0.251]","[9.613221382918242, 17.911496482472657]"
"[0.041, 0.05, -0.011, -0.047]","[23.84735481249932, 13.65737250568051]"
"[0.042, 0.245, -0.012, -0.343]","[13.92338164840119, 20.30006839846702]"
"[0.047, 0.44, -0.019, -0.639]","[16.82514597163107, 23.646194190910144]"
"[0.056, 0.636, -0.031, -0.938]","[24.44214556790936, 9.421615230645044]"
"[0.069, 0.441, -0.05, -0.655]","[17.816180577049092, 18.29734803899829]"
"[0.077, 0.637, -0.063, -0.963]","[20.39968260701832, 10.973091216025564]"
"[0.09, 0.443, -0.082, -0.691]","[19.0048242420894, 9.433925722982996]"
"[0.099, 0.249, -0.096, -0.425]","[12.32680807754238, 23.773674254747164]"
"[0.104, 0.055, -0.105, -0.164]","[11.124616146170466, 10.68485477751896]"
"[0.105, 0.252, -0.108, -0.488]","[18.169900439388908, 7.755459236639181]"
"[0.11, 0.058, -0.118, -0.231]","[22.246434296329568, 22.43319941515326]"
"[0.111, -0.135, -0.122, 0.022]","[10.3955301058659, 12.160068329593464]"
"[0.109, -0.328, -0.122, 0.274]","[21.790522934431166, 24.669538803433593]"
"[0.102, -0.522, -0.117, 0.525]","[15.556206793449531, 10.108509140485797]"
"[0.092, -0.715, -0.106, 0.779]","[14.288124856885604, 23.920073327220443]"
"[0.077, -0.518, -0.09, 0.455]","[9.54722157567189, 6.0825062460199355]"
"[0.067, -0.712, -0.081, 0.718]","[12.439514712540529, 10.819974006278464]"
"[0.053, -0.516, -0.067, 0.401]","[24.477517833361667, 20.041871116297685]"
"[0.042, -0.71, -0.059, 0.672]","[22.823549016285227, 16.550627926199496]"
"[0.028, -0.904, -0.046, 0.945]","[15.805822043582847, 16.17815385734538]"
"[0.01, -1.099, -0.027, 1.223]","[6.32783123298365, 6.265035636617192]"
"[-0.012, -1.294, -0.002, 1.508]","[23.461630077000358, 21.045678327491522]"
"[-0.038, -1.099, 0.028, 1.214]","[19.244312109371492, 18.19717414482515]"
"[-0.06, -1.294, 0.052, 1.516]","[5.244613941951517, 19.87626854633535]"
"[-0.086, -1.49, 0.083, 1.824]","[5.101899882949784, 18.073140068605536]"
"[-0.115, -1.296, 0.119, 1.558]","[16.189952473824146, 10.783577503087256]"
"[-0.141, -1.102, 0.15, 1.305]","[9.87894581634617, 12.960354526332871]"
"[-0.163, -1.299, 0.176, 1.641]","[16.25981194813788, 21.98674713711159]"
"[-0.189, -1.106, 0.209, 1.408]","[17.13771640024732, 21.538038472318632]"
"[0.006, 0.027, -0.025, 0.034]","[11.98958740832663, 12.142002409333836]"
"[0.007, -0.167, -0.024, 0.319]","[17.3448750796502, 22.297586377686574]"
"[0.003, -0.362, -0.018, 0.604]","[7.43489788484057, 24.394839830952968]"
"[-0.004, -0.167, -0.006, 0.306]","[19.824274454262483, 10.478592106718434]"
"[-0.007, -0.362, 0.0, 0.597]","[14.10938693778812, 17.45951846256697]"
"[-0.015, -0.557, 0.012, 0.889]","[12.730545088434459, 6.6806530585537764]"
"[-0.026, -0.752, 0.03, 1.186]","[7.136130310275495, 20.40477900833828]"
"[-0.041, -0.557, 0.054, 0.903]","[6.04682996643022, 10.002663167191796]"
"[-0.052, -0.363, 0.072, 0.627]","[16.550276682732807, 22.410335864401336]"
"[-0.059, -0.559, 0.084, 0.942]","[14.600972604197706, 20.74077724611939]"
"[-0.07, -0.365, 0.103, 0.677]","[6.055300433616875, 19.747339399274395]"
"[-0.078, -0.562, 0.117, 1.0]","[14.320535839439405, 11.957958527933602]"
"[-0.089, -0.758, 0.137, 1.327]","[15.911776628390653, 8.587792330296892]"
"[-0.104, -0.955, 0.163, 1.659]","[18.109344410714566, 11.504459104077265]"
"[-0.123, -1.151, 0.196, 1.998]","[5.893650075677039, 21.586536510008084]"
"[0.01, 0.005, -0.003, 0.034]","[9.04195349486336, 12.96970468549217]"
"[0.011, 0.201, -0.002, -0.259]","[5.844369601772314, 21.492595938362424]"
"[0.015, 0.005, -0.007, 0.033]","[6.115725906000062, 14.95647485270891]"
"[0.015, -0.19, -0.006, 0.323]","[17.833455233703372, 9.511662764010804]"
"[0.011, -0.385, 0.0, 0.614]","[12.659538742677011, 13.88914055551245]"
"[0.003, -0.19, 0.012, 0.321]","[23.106399568325227, 7.453302291485196]"
"[-0.001, 0.005, 0.019, 0.033]","[8.19841027652177, 20.89904090551738]"
"[-0.001, -0.19, 0.019, 0.331]","[16.060097329226576, 13.234815574386264]"
"[-0.004, -0.385, 0.026, 0.63]","[16.59664612204349, 6.539780457748634]"
"[-0.012, -0.581, 0.039, 0.931]","[18.518556625293513, 6.349812223117745]"
"[-0.024, -0.386, 0.057, 0.65]","[17.845727889816754, 16.412226757257855]"
"[-0.031, -0.582, 0.07, 0.961]","[18.49868306357547, 17.52576286677801]"
"[-0.043, -0.388, 0.09, 0.691]","[23.41194081496123, 5.415051264929572]"
"[-0.051, -0.194, 0.103, 0.428]","[9.360953983355518, 6.491724961128282]"
"[-0.055, -0.391, 0.112, 0.751]","[11.391261967673678, 9.440094657837106]"
"[-0.062, -0.587, 0.127, 1.077]","[21.484162482002873, 22.002710324570195]"
"[-0.074, -0.394, 0.148, 0.826]","[20.339675632971357, 20.358545106711986]"
"[-0.082, -0.201, 0.165, 0.584]","[21.98610790695829, 18.310679826679895]"
"[-0.086, -0.398, 0.177, 0.924]","[6.609739749922081, 20.64636254836313]"
"[-0.094, -0.206, 0.195, 0.691]","[11.236336137498423, 24.768167524283164]"
"[-0.098, -0.014, 0.209, 0.466]","[17.489601953605966, 16.548840362075946]"
"[-0.031, -0.039, 0.025, -0.034]","[23.45566435056491, 24.282690634912647]"
"[-0.031, 0.155, 0.025, -0.319]","[7.824242863580276, 8.990765253094962]"
"[-0.028, -0.04, 0.018, -0.018]","[9.30541417070547, 5.298243209548923]"
"[-0.029, -0.236, 0.018, 0.28]","[19.01184103434336, 12.155182372160624]"
"[-0.034, -0.041, 0.024, -0.007]","[16.684572108170432, 12.810391332483915]"
"[-0.035, 0.154, 0.023, -0.292]","[24.557764228682196, 5.1334891508917035]"
"[-0.032, -0.041, 0.018, 0.008]","[7.856244195019093, 23.774313572440903]"
"[-0.032, -0.237, 0.018, 0.306]","[11.627466152186752, 9.822081634265004]"
"[-0.037, -0.432, 0.024, 0.604]","[9.841150086393371, 13.87047411759003]"
"[-0.046, -0.237, 0.036, 0.319]","[5.36768064312608, 8.231707195604885]"
"[-0.05, -0.433, 0.042, 0.623]","[9.858124050582166, 5.299761518649612]"
"[-0.059, -0.238, 0.055, 0.344]","[8.228986408046863, 24.209725777980925]"
"[-0.064, -0.044, 0.062, 0.069]","[22.545506514531425, 22.36861624014214]"
"[-0.065, -0.24, 0.063, 0.381]","[9.06240789107378, 22.28195668844208]"
"[-0.07, -0.436, 0.071, 0.693]","[6.952701955371527, 14.588838434355658]"
"[-0.078, -0.632, 0.085, 1.007]","[7.744650616019024, 5.923800724170951]"
"[-0.091, -0.438, 0.105, 0.742]","[20.473450272956413, 5.390748882469287]"
"[-0.1, -0.635, 0.119, 1.065]","[18.135355800261202, 19.96711962468941]"
"[-0.112, -0.441, 0.141, 0.812]","[7.058908300577849, 19.069710772284836]"
"[-0.121, -0.248, 0.157, 0.567]","[10.302346415557057, 12.841960268001058]"
"[-0.126, -0.056, 0.168, 0.328]","[5.369632740037474, 23.42622680802415]"
"[-0.127, -0.253, 0.175, 0.668]","[11.832553052212834, 24.873826676068447]"
"[-0.132, -0.06, 0.188, 0.436]","[14.228289461538301, 16.18613694405248]"
"[-0.134, 0.132, 0.197, 0.208]","[7.092635038726733, 5.336227602986305]"
"[-0.131, 0.323, 0.201, -0.017]","[9.540825211325592, 14.974581575767576]"
"[-0.124, 0.515, 0.201, -0.24]","[11.125097868720493, 22.115219351042366]"
"[-0.114, 0.707, 0.196, -0.463]","[9.589018694990628, 7.441525205083637]"
"[-0.1, 0.899, 0.187, -0.688]","[18.09270750961417, 17.8175557823819]"
"[-0.082, 0.702, 0.173, -0.343]","[18.638444972661404, 20.26881853752765]"
"[-0.068, 0.505, 0.166, -0.001]","[22.78850153324303, 20.823800119186906]"
"[-0.058, 0.697, 0.166, -0.237]","[9.794058784077748, 6.129002888358023]"
"[-0.044, 0.889, 0.161, -0.473]","[21.706138146059182, 23.780525537803673]"
"[-0.026, 0.692, 0.152, -0.134]","[15.870995297776755, 7.541905742048751]"
"[-0.012, 0.885, 0.149, -0.376]","[20.417772244515184, 9.375487127820552]"
"[0.005, 1.078, 0.142, -0.618]","[16.113103521272226, 13.590996452382438]"
"[0.027, 1.271, 0.129, -0.863]","[15.125395891069243, 13.427190845210117]"
"[0.052, 1.464, 0.112, -1.112]","[19.751267668129366, 21.180172591169438]"
"[0.082, 1.657, 0.09, -1.368]","[12.146940542486103, 12.860033037420004]"
"[0.115, 1.851, 0.062, -1.631]","[10.963810545625813, 23.94892440721206]"
"[0.152, 1.655, 0.03, -1.319]","[22.14843422407467, 5.750857385914308]"
"[0.185, 1.46, 0.003, -1.018]","[7.396174222218788, 23.30053467136571]"
"[0.214, 1.265, -0.017, -0.724]","[19.530699754079716, 12.489365975951936]"
"[0.239, 1.46, -0.031, -1.022]","[8.811315906287389, 17.316684518872872]"
"[0.269, 1.656, -0.052, -1.324]","[12.88828710471693, 21.280533193401503]"
"[0.302, 1.851, -0.078, -1.633]","[16.755336836345286, 10.58167628453958]"
"[0.339, 1.657, -0.111, -1.365]","[5.540894572438084, 17.39138159826148]"
"[0.372, 1.854, -0.138, -1.69]","[23.771110501805005, 13.648763461258708]"
"[0.409, 2.05, -0.172, -2.023]","[21.545623799661527, 10.230935463557085]"
"[-0.033, -0.042, 0.01, 0.007]","[20.804530645856197, 10.573472575601805]"
"[-0.034, 0.153, 0.01, -0.282]","[11.023280103746107, 7.950518776791949]"
"[-0.031, -0.043, 0.005, 0.014]","[6.181923927811896, 21.175244730493656]"
"[-0.031, 0.152, 0.005, -0.277]","[6.797557977738711, 11.28228839752113]"
"[-0.028, 0.347, -0.001, -0.569]","[17.146008430967825, 23.36102583032351]"
"[-0.021, 0.543, -0.012, -0.861]","[23.230208117065406, 14.353238869246148]"
"[-0.011, 0.348, -0.029, -0.572]","[5.6194828512798765, 21.302134292451623]"
"[-0.004, 0.543, -0.041, -0.874]","[20.367269919180433, 7.137416345508165]"
"[0.007, 0.739, -0.058, -1.179]","[17.661856554030877, 12.049321338030488]"
"[0.022, 0.935, -0.082, -1.49]","[15.601222402139774, 5.868762004138734]"
"[0.041, 1.131, -0.111, -1.807]","[8.467865756918533, 8.923756419384008]"
"[0.063, 0.937, -0.148, -1.551]","[24.78007265812387, 15.790544185660305]"
"[0.082, 1.133, -0.179, -1.886]","[23.155419145358856, 15.340212306640503]"
"[-0.02, -0.044, 0.028, -0.036]","[22.762019476633558, 15.006091564464668]"
"[-0.021, -0.239, 0.027, 0.266]","[15.3835046710676, 24.759352966888486]"
"[-0.026, -0.044, 0.032, -0.018]","[18.699924569339505, 20.91666120500605]"
"[-0.027, -0.24, 0.032, 0.284]","[20.31894448001245, 7.38392521832631]"
"[-0.032, -0.436, 0.038, 0.587]","[11.558292411474259, 11.370496902770935]"
"[-0.04, -0.631, 0.049, 0.891]","[24.870188280498773, 11.370549006407005]"
"[-0.053, -0.437, 0.067, 0.614]","[12.88114238585811, 9.113710496986796]"
"[-0.062, -0.633, 0.079, 0.927]","[11.559177015737184, 10.827611511439452]"
"[-0.074, -0.829, 0.098, 1.244]","[8.598835350526787, 21.3445156548074]"
"[-0.091, -1.025, 0.123, 1.566]","[6.694769516739864, 16.478657355293265]"
"[-0.112, -0.832, 0.154, 1.314]","[23.25126984728592, 19.965655110864745]"
"[-0.128, -1.028, 0.18, 1.65]","[7.88715234244072, 22.940311041116722]"
"[-0.027, 0.034, -0.021, 0.027]","[9.754325919119129, 23.78506823809922]"
"[-0.026, -0.161, -0.021, 0.313]","[22.45598737244722, 24.051023560012723]"
"[-0.03, 0.035, -0.014, 0.014]","[8.555531478662367, 10.43104491875598]"
"[-0.029, 0.23, -0.014, -0.283]","[23.956395253797567, 12.55761943901639]"
"[-0.024, 0.035, -0.02, 0.005]","[24.283881191033124, 20.62995845865626]"
"[-0.024, 0.231, -0.02, -0.294]","[20.016167409887373, 6.922159023993281]"
"[-0.019, 0.036, -0.026, -0.008]","[12.832849044792457, 21.34754970000335]"
"[-0.018, 0.231, -0.026, -0.308]","[9.689451025129877, 13.597243775893864]"
"[-0.014, 0.036, -0.032, -0.024]","[16.42748475118126, 23.947387311770353]"
"[-0.013, -0.158, -0.032, 0.259]","[5.010079905250517, 10.30491751417416]"
"[-0.016, 0.037, -0.027, -0.044]","[22.045425228771116, 7.449335728197372]"
"[-0.015, -0.157, -0.028, 0.24]","[20.008020450643443, 5.492824636756843]"
"[-0.019, -0.352, -0.023, 0.524]","[20.20651641552918, 14.47219696382972]"
"[-0.026, -0.157, -0.013, 0.224]","[21.395389803956647, 15.531580385045803]"
"[-0.029, -0.352, -0.008, 0.512]","[6.224469564731386, 23.851409788359536]"
"[-0.036, -0.156, 0.002, 0.217]","[17.332324629287015, 23.812586770762543]"
"[-0.039, -0.351, 0.006, 0.51]","[24.675261787787097, 15.41528137501732]"
"[-0.046, -0.547, 0.016, 0.805]","[9.438686644858139, 6.993088186532484]"
"[-0.057, -0.352, 0.033, 0.517]","[12.342544018891237, 16.70424379988168]"
"[-0.064, -0.547, 0.043, 0.82]","[11.114263812916167, 19.645434381091057]"
"[-0.075, -0.743, 0.059, 1.126]","[7.422406512797918, 16.125196880332364]"
"[-0.09, -0.549, 0.082, 0.852]","[23.37698186441296, 16.423483818744167]"
"[-0.101, -0.355, 0.099, 0.586]","[17.600823819763647, 16.27234168932718]"
"[-0.108, -0.161, 0.111, 0.326]","[23.703486466216347, 13.556208104208029]"
"[-0.111, -0.358, 0.117, 0.652]","[6.8724861132320765, 9.083165332480922]"
"[-0.118, -0.554, 0.13, 0.979]","[19.6137978670433, 17.91369655243221]"
"[-0.129, -0.361, 0.15, 0.73]","[24.425823127680594, 16.64913637644664]"
"[-0.136, -0.558, 0.164, 1.066]","[12.545232978721234, 15.218043061439328]"
"[-0.148, -0.365, 0.186, 0.829]","[18.38644425791375, 21.764008436326343]"
"[-0.155, -0.173, 0.202, 0.6]","[23.0745053037184, 11.451736927913046]"
"[-0.042, -0.01, -0.036, -0.037]","[16.44624801663523, 18.38065124050445]"
"[-0.042, -0.205, -0.037, 0.244]","[20.447855449341063, 22.46836905750775]"
"[-0.046, -0.009, -0.032, -0.061]","[5.1924922115029375, 21.990479379755463]"
"[-0.046, 0.186, -0.034, -0.363]","[6.182026432731654, 16.62166274058467]"
"[-0.043, 0.382, -0.041, -0.666]","[10.698801011737784, 13.876730800322768]"
"[-0.035, 0.187, -0.054, -0.387]","[5.68977483223907, 24.56261554718793]"
"[-0.031, -0.007, -0.062, -0.112]","[15.009736218877087, 13.511635692376558]"
"[-0.032, -0.201, -0.064, 0.161]","[13.58266440440599, 7.665804918851736]"
"[-0.036, -0.395, -0.061, 0.433]","[19.570288123172432, 17.625873590677273]"
"[-0.043, -0.199, -0.052, 0.121]","[21.8134709895214, 23.764481719299262]"
"[-0.047, -0.004, -0.05, -0.187]","[5.164114658841681, 19.659858108784285]"
"[-0.048, 0.192, -0.054, -0.495]","[13.424323767086822, 8.896972018152049]"
"[-0.044, -0.002, -0.063, -0.22]","[10.328728177755268, 14.759649358698702]"
"[-0.044, 0.194, -0.068, -0.532]","[5.74774148463092, 23.25576181227337]"
"[-0.04, 0.39, -0.078, -0.845]","[24.949608502032298, 8.782308667324044]"
"[-0.032, 0.586, -0.095, -1.162]","[18.98732673453726, 20.02365329361483]"
"[-0.02, 0.392, -0.119, -0.9]","[10.138088180580844, 14.355355827258693]"
"[-0.012, 0.589, -0.137, -1.228]","[15.824346410163043, 15.049876712796351]"
"[-0.001, 0.396, -0.161, -0.981]","[18.2884543669616, 14.973191310792888]"
"[0.007, 0.203, -0.181, -0.743]","[14.297186920064526, 14.650011697960903]"
"[0.011, 0.011, -0.196, -0.512]","[23.43823756410723, 21.94104212108242]"
"[0.011, 0.208, -0.206, -0.859]","[12.093229044201866, 16.83953151041383]"
"[-0.027, 0.012, -0.038, 0.01]","[22.80727623326115, 7.184538418552813]"
"[-0.027, 0.207, -0.038, -0.294]","[14.504521228625034, 20.890727203209526]"
"[-0.023, 0.013, -0.044, -0.014]","[13.90616087596954, 23.27060004452999]"
"[-0.023, 0.209, -0.044, -0.32]","[15.939947830827004, 15.923607118568192]"
